frame number,location x (m),location y (m),location z (m),rotation x (rad),rotation y (rad),rotation z (rad)
0,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
1,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
2,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
3,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
4,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
5,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
6,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
7,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
8,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
9,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
10,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
11,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
12,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
13,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
14,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
15,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
16,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
17,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
18,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
19,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
20,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
21,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
22,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
23,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
24,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
25,0,0,0.029999999329448,1.57079637050629,0,-1.57012403011322
26,0,0,0.029999999329448,1.57079637050629,0,-1.56814503669739
27,0,0,0.029999999329448,1.57079637050629,0,-1.56491613388062
28,0,0,0.029999999329448,1.57079637050629,0,-1.56049406528473
29,0,0,0.029999999329448,1.57079637050629,0,-1.55493581295013
30,0,0,0.029999999329448,1.57079637050629,0,-1.54829800128937
31,0,0,0.029999999329448,1.57079637050629,0,-1.54063749313355
32,0,0,0.029999999329448,1.57079637050629,0,-1.53201127052307
33,0,0,0.029999999329448,1.57079637050629,0,-1.52247595787048
34,0,0,0.029999999329448,1.57079637050629,0,-1.51208853721619
35,0,0,0.029999999329448,1.57079637050629,0,-1.50090551376343
36,0,0,0.029999999329448,1.57079637050629,0,-1.4889839887619
37,0,0,0.029999999329448,1.57079637050629,0,-1.47638082504272
38,0,0,0.029999999329448,1.57079637050629,0,-1.46315252780914
39,0,0,0.029999999329448,1.57079637050629,0,-1.44935631752014
40,0,0,0.029999999329448,1.57079637050629,0,-1.43504846096039
41,0,0,0.029999999329448,1.57079637050629,0,-1.42028629779816
42,0,0,0.029999999329448,1.57079637050629,0,-1.40512645244598
43,0,0,0.029999999329448,1.57079637050629,0,-1.3896256685257
44,0,0,0.029999999329448,1.57079637050629,0,-1.37384080886841
45,0,0,0.029999999329448,1.57079637050629,0,-1.35782873630524
46,0,0,0.029999999329448,1.57079637050629,0,-1.34164619445801
47,0,0,0.029999999329448,1.57079637050629,0,-1.32535004615784
48,0,0,0.029999999329448,1.57079637050629,0,-1.30899691581726
49,0,0,0.029999999329448,1.57079637050629,0,-1.29264402389526
50,0,0,0.029999999329448,1.57079637050629,0,-1.2763477563858
51,0,0,0.029999999329448,1.57079637050629,0,-1.26016533374786
52,0,0,0.029999999329448,1.57079637050629,0,-1.24415302276611
53,0,0,0.029999999329448,1.57079637050629,0,-1.22836828231812
