frame number,location x (m),location y (m),location z (m),rotation x (rad),rotation y (rad),rotation z (rad)
0,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
1,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
2,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
3,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
4,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
5,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
6,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
7,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
8,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
9,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
10,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
11,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
12,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
13,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
14,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
15,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
16,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
17,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
18,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
19,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
20,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
21,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
22,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
23,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
24,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
25,0,0,0.029999999329448,1.57079637050629,0,-1.56911563873291
26,0,0,0.029999999329448,1.57079637050629,0,-1.56416809558868
27,0,0,0.029999999329448,1.57079637050629,0,-1.55609571933746
28,0,0,0.029999999329448,1.57079637050629,0,-1.54504060745239
29,0,0,0.029999999329448,1.57079637050629,0,-1.53114485740662
30,0,0,0.029999999329448,1.57079637050629,0,-1.5145503282547
31,0,0,0.029999999329448,1.57079637050629,0,-1.49539935588837
32,0,0,0.029999999329448,1.57079637050629,0,-1.47383368015289
33,0,0,0.029999999329448,1.57079637050629,0,-1.44999539852142
34,0,0,0.029999999329448,1.57079637050629,0,-1.4240266084671
35,0,0,0.029999999329448,1.57079637050629,0,-1.39606940746307
36,0,0,0.029999999329448,1.57079637050629,0,-1.3662656545639
37,0,0,0.029999999329448,1.57079637050629,0,-1.33475744724274
38,0,0,0.029999999329448,1.57079637050629,0,-1.30168700218201
39,0,0,0.029999999329448,1.57079637050629,0,-1.2671959400177
40,0,0,0.029999999329448,1.57079637050629,0,-1.23142671585083
41,0,0,0.029999999329448,1.57079637050629,0,-1.19452130794525
42,0,0,0.029999999329448,1.57079637050629,0,-1.15662157535553
43,0,0,0.029999999329448,1.57079637050629,0,-1.11786961555481
44,0,0,0.029999999329448,1.57079637050629,0,-1.07840752601624
45,0,0,0.029999999329448,1.57079637050629,0,-1.03837716579437
46,0,0,0.029999999329448,1.57079637050629,0,-0.9979208111763
47,0,0,0.029999999329448,1.57079637050629,0,-0.957180380821228
48,0,0,0.029999999329448,1.57079637050629,0,-0.916297912597656
49,0,0,0.029999999329448,1.57079637050629,0,-0.875415444374085
50,0,0,0.029999999329448,1.57079637050629,0,-0.834674954414368
51,0,0,0.029999999329448,1.57079637050629,0,-0.79421865940094
52,0,0,0.029999999329448,1.57079637050629,0,-0.754188418388367
53,0,0,0.029999999329448,1.57079637050629,0,-0.714726150035858
